%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 11:25:44 2020 nblocks = 0 ET = 3.0
drained notdrained mean
-0.6524311167017718 -0.0035622098563621307 -0.18482976536823395
-0.667835807531624 -0.007267339484291924 -0.18997181609531588
-0.6830593116924781 -0.011033644099764928 -0.19490710137109601
-0.6980566651381199 -0.014838166478885029 -0.19966611459295264
-0.7128163155405058 -0.018676418357282287 -0.20426987987734133
-0.727322052285067 -0.02255030178246109 -0.20873595439286885
-0.7415518473855478 -0.026493668214635946 -0.2130783736322176
-0.7554793485398532 -0.03090628034297538 -0.21730736051370658
-0.7563535954724543 -0.02582280334628706 -0.21608592240437516
-0.7697165536498742 -0.030209655217317888 -0.22026496433400367
-0.7700215143017406 -0.02516766317520336 -0.21897592838860205
-0.780237735995037 -0.027652956425059827 -0.22199099158118898
-0.7890434512924411 -0.02934121125022493 -0.22443381660267783
-0.8014156964886485 -0.033880075204500315 -0.2284180202565717
